,Alabama,English,Class,Principal Parts,Derivation,Notes
5754,abalàali,"mortgage, collateral, security on a loan",,,[a- /balàa-li],
5755,abanàaka,"to reach, bend, or fall over (with the whole body)",-LI/CHA-,"abanàahiska, abanàahilka, abanàahaska",[/abana(t)-ka1],
5756,abanàali,"to put (one object) across or over two objects, span the gap in between with (e.g. a wood frame)",-LI/CHA-,"abanàachi, abanàahili, abanàahachi",[/abana(t)-li],
5757,abanatkìicho,Negative form of abanatlichi,,,,
5758,abanátko,Negative form of abanatli,,,,
5759,abanatli,"to cross over, go across; to straddle (as climbing over a fence), step over (of one)",-LI/3,"abanatchi, -, -",[/abanat-li],
5760,abanatlichi,"to lead across, make cross over; to put across, serve over the net (one object)",-LI/CHA-,"abanatchichi, abanathilichi, abanathachichi",[/abanat-li-chi1],
5761,abanka,place to cross over,,,[/aban(at)-ka1],
5762,abànkasi,"stile, steps for crossing over a fence",,,[/aban(at)-ka1],
5763,abánnatli,"to be crossing, across (of one)",-LI,"abánnatchi, -, -",[/abanat-li],
5764,abanni,"to cross over, go across, step over (of more than one)",-LI/3,"-, abanhili, abanhachi",[/aban(at)-li],
5765,abannichi,"to lead across, make cross over; to put across, serve over the net (plural objects)",-LI/CHA-,"abanchichi, abanhilichi, abanhachichi",[/aban(at)-li-chi1],
5766,abasi,"corncrib, root cellar, storage shed for potatoes",,,[/aba-osi],
5767,abáski,"to be high up, be a certain height",Other Verb,,[poss. a- /baski],
5768,Abáskichókkòoli,God,,,[/abáski /chókkòo-li],
5769,abáskitíkko,Negative form of abáski,,,,
5770,abatàaka,"to run into, bump into, collide with (of more than one)",-LI/CHA-,"-, abatàahilka, abatàahaska",[/abata(p)-ka1],
5771,abatapíkko,Negative form of abatapka,,,,
5772,abatapka,"to run into, bump into, collide with (of one or once)",-LI/CHA-,"abatapiska, abatapilka, abatapaska",[/abatap-ka1],
5773,abiɬka,"to stake to a pole, plant by staking to a pole, set up a pole (esp. for beans)",-LI/3,"abiɬiska, abiɬilka, abiɬaska",[/abiɬ-ka1],
5774,abitiplichi,Var. of abititlichi,,,,
5775,abititkìicho,Negative form of abititlichi,,,,
5776,abititlichi,"to weight down, press down on",-LI/CHA-,"abititchichi, abitithilichi, abitithachichi",[/abitit-li-chi2],
5777,abitkachi,to be packed down,CHA-,,[/abit(it)-ka1],
5778,abitlichi,"to pump, move (something) up and down; to drive into the ground, tamp down, pack down, press down",-LI/3,"abitchichi, abithilichi, abithachichi",[/abit(it)-li-chi2],
5779,abóhko,Negative form of abohli,,,,
5780,abohli,"woods, thicket",,,[/aboh-li],
5781,abohlichi,"to litter (an area), mess (something) up",-LI/CHA-,"abohchichi, abohhilichi, abohhachichi",[/aboh-li-chi1],
5782,aboknóhko,Negative form of aboknohli,,,,
5783,aboknohli,to wrap in a bundle,-LI/CHA-,"aboknohchi, aboknohhili, aboknohhachi",[/aboknoh-li],
5784,aboknooli,Var. of aboknohli,,,,
5785,abooli,Var. of abohli,,,,
5786,aboolischoba,Var. of aboolissoba,,,,
5787,aboolissoba,the Big Thicket,,,[/abooli ist- /choba],
5788,aboolòosi,"grove, little wooded area, stand of trees",,,[/aboo-li-osi],
5789,aboska,"roast, barbecue",,,[/abos-ka1],
5790,abósko,Negative form of abosli,,,,
5791,abosli,"to barbecue, grill over a fire, roast",-LI/3,"aboschi, aboshili, aboshachi",[/abos-li],
5792,acha,"outside, outdoors, out",,,,
5793,achaalpa,"to be opposed, have opposition",CHA-,"opposition, objection, disagreement",[/achaa<l>pa],
5794,achaapa,"to object to openly, disagree, oppose, argue against",-LI/CHA-,"achaaspa, achaalpa, achaahaspa",,
5795,achàapa,"enemy, opposition",CHA-,,,
5796,achaapatíkko,Negative form of achaapa,,,,
5797,acháffàaka,"once, once upon a time",,,[a- /chafaa-ka1],
5798,achahli,to agree about,-LI/3,"achahchi, achahhili, achahhachi",[/achah-li],
5799,achaki,"midget, dwarf, any unusually small full grown person",,,,
5800,achakìipo,Negative form of achaapa,,,,
5801,achakki,"to go with, accompany, date",-LI/CHA-,"achakhiska, achakhilka, achakhaska",[poss. a- /chakki],
5802,achakkitíkko,Negative form of achakki,,,,
5803,achakosi,Var. of chakosi,,,,
5804,achanàa-,<br/>,,,,
5805,achanàahíkko,Negative form of achanàaka,,,,
5806,achanàaka,to lean against (of one),-LI/CHA-,"achanàahiska, -, -",[/achanaa-ka1],
5807,achanàali,to lean (one object) against,-LI/CHA-,"achanàachi, achanàahili, achanàahachi",[/achanaa-li],
5808,achanaíkko,Var. of achanaahíkko,,,,
5809,achankachi,to lean against (of more than one),-LI/CHA-,"-, achankachitilka, achankachitaska",[/achan(àa)-ka1],
5810,achánnàaka,to have been leaned against (of one),Other Verb,,[/achanaa-ka1],
5811,achánnàaka,to be leaning against (of one),Other Verb,,[/achanaa-ka1],
5812,achanni,to lean (plural objects) against,-LI/CHA-,"achanchi, achanhili, achanhachi",[/achan(àa)-li],
5813,achasàako,Negative form of achasàali,,,,
5814,achasàali,"to insert (one object) between, stick in between",-LI/3,"achasàachi, achasàahili, achasàahachi",[/achasàa-li],
5815,acha sakàmpa,outside corner,,,[/acha /sakàmpa],
5816,achaska,to be stuck in between (of more than one),CHA-,,[/achas(àa)-ka1],
5817,achásko,Negative form of achasli,,,,
5818,achasli,"to insert (plural objects) between, stick in between",-LI/3,"achaschi, achashili, achashachi",[/achas(àa)-li],
5819,achihba,"to be slow, clumsy",CHA-,,,
5820,achíhba,to be more expensive,,,[/achihba],
5821,achìhba,"sadness, pitiable circumstance",,,,
5822,achihka,seed (for planting),,,[/achih-ka1],
5823,achìhko,Negative form of achihli,,,,
5824,achihli,to plant (especially seeds),-LI/3,"achihchi, achihhili, achihhachi",[/achih-li],
5825,achiiba,Var. of achihba,,,,
5826,achiifakto,Var. of hachiⁿfakto,,,,
5827,achikíhbòosi,Negative form of achikìibo,,,[/achi<kì>hba-o2],
5828,achikìibo,Negative form of achihba,,,,
5829,achiliiba,slowness,,,[/achi<li>hba],
5830,achitìika,to be tied,,,,
5831,achitìiko,Negative form of achitìili,,,,
5832,achitìili,"to tie (one object), tie onto, tie (two ends) together, tie (a knot); to bear (one fruit)",Other Verb,,[/achitìi-li],
5833,achitli,to tie up (plural objects),-LI/CHA-,"achitchi, achithili, achithachi",[im- /achit(ìi)-li],
5834,achíttìika,to be tied up (of one),CHA-,,[/achitìi-ka1],
5835,achíttìili,to have (one object) tied up,-LI/CHA-,"achíttìichi, achíttìihili, achíttìihachi",[/achitìi-li],
5836,achokìibo,Negative form of achòoba,,,,
5837,achokna,"pick (tool), pickax",,,,
5838,achòoba,"to be old, mature, be a senior citizen, be elderly; to be old and worn out",CHA-,,[poss. a- /choba],
5839,achòobat kanohalpískohchi,Var. of achòobat kanolalpískohchi,,,,
5840,achòobat kanolalpískohchi,to be old and worthless,CHA-,,[/achòoba-t /kano-ha4],
5841,achoopa,iron nail,,,,
5842,achoopachoba,"spike, big nail",,,[/achoopa /choba],
5843,achoopa issiihka,anything used to pull nails,,,[/achoopa ist- /siih-ka1],
5844,achoopa istiⁿsihkachi,"crowbar, claw hammer",,,[/achoopa ist-im- /sih-ka1],
5845,achoopasi,"thumb tack, carpet tack, small nail",,,[/achoopa-osi],
5846,achoopassihka,Var. of achoopa issiihka,,,,
5847,achopchoba,Var. of achoopa choba,,,,
5848,achoska,"to get stuck or stabbed (repeatedly), have several things sticking one",Other Verb,,[/achos(òo)-ka1],
5849,achoska,"to be right behind, stick close to, cling to (of more than one)",Other Verb,,[/achos(òo)-ka1],
5850,achoskachi,"to be right behind, stick close to, cling to (of more than one)",-LI/CHA-,"-, achoskachitilka, achoskachitaska",[/achos(òo)-ka1],
5851,achosli,"to nail, drive in (sharp objects), run in, stick in, stab, pierce (plural objects or repeatedly)",-LI/CHA-,"achossi, achoshili, achoshachi",[/achos(òo)-li],
5852,achosóikko,Negative form of achosòoka2,,,,
5853,achosòo-,<br/>,,,,
5854,achosòoka,"to be nailed, be stuck into (e.g. of a dart) (once)",Other Verb,,[/achosòo-ka1],
5855,achosòoka,to run into (one object); to be sticking into,Other Verb,,[/achosòo-ka1],
5856,achosòoko,Negative form of achosòoli,,,,
5857,achosòoli,"to nail, drive in (a sharp object), stick in, stab, pierce, impale (one object); to hex or cast a bad spell on; to influence, put ideas in (someone's head)",-LI/CHA-,"achosòochi, achosòohili, achosòohachi",[/achosòo-li],
5858,achóssòoka,"to follow along behind, stick close to, cling to (of one)",-LI/CHA-,"achóssòohiska, -, -",[/achosòo-ka1],
5859,achóssòokàasi,Var. of achóssòoka,,,,
5860,afaachi,Var. of afaalichi,,,,
5861,afaahíkko,Negative form of afaaka,,,,
5862,afaahilka,"joke, something funny",,,[/afaa<hil>-ka1],
5863,afaahilka naaɬiihilka,joke,,,[/afaa<hil>-ka1],
5864,afaahilka naaɬìika,"story-teller, liar",,,[/afaa<hil>-ka1],
5865,afaahoka,afaaka,,,,
5866,afaaka,"to laugh; to smile, grin",-LI; CHA-,"afaahiska, afaahilka, afaahaska",[/afaa-ka1],
5867,afaakachi,"to be laughed at, ridiculed",CHA-,,[/afaa-ka1],
5868,afaalichi,"to laugh at, ridicule, tease; to make laugh",-LI/CHA-,"afaachichi, afaahilichi, afaahachichi",[/afaa-li-chi1],
5869,afaíkko,Var. of afaahíkko,,,,
5870,afailka,Var. of afaahilka,,,,
5871,afalohka,to yawn,CHA-; -LI,"afalohiska, afalohilka, afalohaska",[/afaloh-ka1],
5872,áffáakàssi,to smile,-LI,"áffáiskàssi, áffáilkàssi, áffáaskàssi",[/afaa-ka1],
5873,affakchi,skin; hide; cover of a book; bark of a tree,CHA-,,,
5874,afináapli,to keep locking regularly (e.g. a car door) (one object),-LI/CHA-,"afináapchi, afináaphili, afináaphachi",[/afinap-li],
5875,afinapka,to be locked (of one),,,[/afinap-ka1],
5876,afinápko,Negative form of afinapli,,,,
5877,afinapli,"to lock up, bar (one object)",-LI/CHA-,"afinapchi, afinaphili, afinaphachi",[/afinap-li],
5878,afínnapli,to keep locked up (e.g. a cedar chest) (one object),-LI/CHA-,"afínnapchi, afínnaphili, afínnaphachi",[/afinap-li],
5879,afinni,to lock up (plural objects),-LI/CHA-,"afinchi, afinhili, afinhachi",[/afin(ap)-li],
5880,afitàaka,"span, cross-beam, doubletree or singletree (crosspiece of a wagon)",,,[/afitàa-ka1],
5881,afitàako,Negative form of afitàali,,,,
5882,afitàali,"to lay across a gap (e.g. a beam), span with, cross a gap with, bridge a gap with (one object)",-LI/3,"afitàachi, afitàahili, afitàahachi",[/afitàa-li],
5883,afitli,"to lay across a gap (e.g. a beam), span, cross a gap",-LI/3,"afitchi, afithili, afithachi",[/afit(àa)-li],
5884,afolhíkko,Negative form of afolli,,,,
5885,afolka,"to be suspended in water, cooked to a mush, boiled",,,[/afol-ka1],
5886,afolli,"to boil, simmer, cook in liquid (a mushy substance)",-LI/3,"afolchi, afolhili, afolhachi",[/afol-li],
5887,afolo,Var. of ofolo,,,,
5888,aha,"sweet potato, potato",,,,
5889,ahaalo,"to ask (a question), ask for, request",-LI/3,"ahalchi, ahalhilaski, ahalhachi",[/ahalo],
5890,ahaalotíkko,Negative form of ahaalo,,,,
5891,aha boska,baked potato,,,[/aha /bos-ka1],
5892,ahachàaka,"bill, debt, money still owed, loan balance",,,[/ahachàa-ka1],
5893,ahachàaka holisso,"bill, ticket, credit card",,,[/ahachàa-ka1],
5894,ahachaakìicho,Negative form of ahachàalichi,,,,
5895,ahachàako,Negative form of ahachàali,,,,
5896,ahachàali,"to owe, borrow (money), buy on credit, charge a purchase",-LI/3,"ahachàachi, ahachàahili, ahachàahachi",,
5897,ahachàalichi,"to charge to an account, charge someone for, extend credit to",-LI/CHA-,"ahachàachichi, ahachàahilichi, ahachàahachichi",[/ahachàa-li-chi1],
5898,ahalka,to be asked for,CHA-,,[/ahalo-ka1],
5899,ahamatka,Var. of aamatka,,,,
5900,ahamatli,Var. of aamatli,,,,
5901,ahámmatka,Var. of áammatka,,,,
5902,ahataksi,"potato, Irish potato",,,[/aha /taksi],
5903,ahataksi bahka,mashed potatoes,,,[/aha /taksi /bah-ka1],
5904,ahataksi solotka,potato chip,,,[/aha /taksi /solot-ka1],
5905,ahátchàaka,"bills, debt, being in debt, owing",,,[/ahachàa-ka1],
5906,ahátchàali,"to be in debt, owe",Other Verb,,[/ahachàa-li],
5907,ahátchàali,to stand over (of one),Other Verb,,[a- /hachaa-li],
5908,áhhìicha,"to be looking after, keeping watch over, to guard, protect, take care of, housesit, babysit",-LI/CHA-,"áhhìichatiska, áhhìichatilka, áhhìichataska",[a- /hicha],
5909,áhhòoba,"to be almost even, nearly equal in size or mental ability; to have caught up with",-LI/CHA-,"áhhòobatiska, áhhòobatilka, áhhòobataska",[/ahoba],
5910,ahicha,to watch over,-LI/CHA-,"ayishicha, ayilhichaski, aashicha",[a- /hicha],
5911,ahíicha,"to care for, watch over, babysit, guard",-LI/CHA-,"ayishíicha, ayilhíichaski, aashíicha",[a- /hicha],
5912,ahíichatíkko,Negative form of ahíicha,,,,
5913,ahíina,"to be together with, stay with; to watch over, protect, guard",-LI/CHA-,"ahíinatiska, ahíinatilka, ahíinataska",,
5914,ahíinatíkko,Negative form of ahíina,,,,
5915,ahissi,Var. of aissi,,,,
5916,ahissihatka,Var. of aissihatka,,,,
5917,ahissi ɬopotlichi,laxative,,,[/ahissi /ɬopot-li-chi1],
5918,ahissi talibòoli,Var. of aissi talbòoli,,,,
5919,ahkomachi,Var. of akhommachi,,,,
5920,ahkommachi,Var. of akhommachi,,,,
5921,ahlàana,Var. of aalaana,,,,
5922,ahochifa,to name after someone,-LI/CHA-/3,"ahochifchi, ahochifhili, ahochifhachi",[a- /hochifa],
5923,ahokìibo,Negative form of ahooba,,,,
5924,ahokìito,Negative form of ahoota,,,,
5925,aholchifa,to be named after,-LI/CHA-,"aholchifchi, aholchifhili, aholchifhachi",[a- /ho<l>chifa],
5926,ahomi,Var. of ahoomi,,,,
5927,ahooba,"to catch up to, tie with (someone)",-LI/CHA-,"ahoobatiska, ahoobatilka, ahoobataska",[/ahoba],
5928,ahoobachi,"to even up (e.g. the ends of something), bring up to the same level",-LI/CHA-,"ahoobachitiska, ahoobachitilka, ahoobachitaska",[/ahoba-chi1],
5929,ahoobachitíkko,Negative form of ahoobachi,,,,
5930,ahoobatíkko,Negative form of ahooba,,,,
5931,ahoolta,"vomit, vomitus",,,[/ahoo<l>ta],
5932,ahoomi,"to moan, sigh, grunt (in pain)",-LI,"ahoomitiska, ahoomitilka, ahoomitaska",,
5933,ahoomitíkko,Negative form of ahoomi,,,,
5934,ahoota,"to vomit, throw up",CHA-,,,
5935,ahootachi,"to make vomit, nauseate",-LI/CHA-,"ahootachitiska, ahootachitilka, ahootachitaska",[/ahoota-chi1],
5936,àhpotayyi,niece,,,[prob. /àa<h>po /tayyi],
5937,aíina,Var. of ahíina,,,,
5938,aissi,"medicine, pills, drug",,,[poss. a- /hissi],
5939,aissihatka,ginseng; liniment; white man's medicine,,,[/aissi /hat-ka1],
5940,aissi istalposooha,"salve, ointment, medicinal cream",,,[/aissi ist- /a<l>posoh-a],
5941,aissikánko,poison,,,[/aissi /kano-ki-o2],
5942,aissipa,to take medicine orally,-LI/3,,[/aissi /(i)pa],
5943,aissisɬopotli,epsom salts,,,[/aissi ist- /ɬopot-li],
5944,aissi talbòoli,to make medicine,-LI/3,,[/aissi /talbòo-li],
5945,aissi tapatka,plant that cures kidney infections,,,[/aissi /?],
5946,akaaka,chicken,,,,
5947,akaakabitka,chicken dance,,,[/akaaka /bit-ka1],
5948,akaakabitka talilwa,chicken dance song,,,[/akaaka /bit-ka1],
5949,akaakaboska,barbecued chicken,,,[/akaaka /abos-ka1],
5950,akaaka imiisa,"chicken coop, henhouse, roost",,,[/akaaka im- /iisa],
5951,akaakapayka,fried chicken,,,[/akaaka /apay-ka1],
5952,akaakasáwwasi,"bantam chicken, banty",,,[/akaaka /sawwa-osi],
5953,akaakastimmànkasi,"bantam chicken, banty",,,[/akaaka ist-im- /má<h>mi-ka1],
5954,akaakatayyi,hen,,,[/akaaka /tayyi],
5955,akaakatìihka,person who plucks chickens,,,[/akaaka /tih-ka1],
5956,akaakchòoba,rooster,,,[/akaaka /achòoba],
5957,akaakhòoba,chicken thief,,,[/akaaka /hòoba],
5958,akaakibi,chicken hawk,,,[/akaaka /ibi],
5959,akaakimilpa,chicken feed,,,[/akaaka im-il- /(i)pa],
5960,akaakinchakaafa,chicken gizzards,,,[/akaaka im- /chakaafa],
5961,akaakispowatli,Var. of akaakispoyatli,,,,
5962,akaakispoyatli,fried chicken,,,[/akaaka ist- /poyat-li],
5963,akaakochòosi,chicken egg,,,[/akaaka /ochòosi],
5964,akaakochòosi affakchi,chicken egg shell,,,[/akaaka /ochòosi /affakchi],
5965,akaakochòosi bombòoki libatka,hard-boiled egg,,,[/akaaka /ochòosi /bomboki /libat-ka1],
5966,akaakochòosi illaana,chicken egg yolk,,,[/akaaka /ochòosi im- /laana],
5967,akaakochòosi iⁿhatka,chicken egg white,,,[/akaaka /ochòosi im- /hat-ka1],
5968,akaakochoski,chicken eggs,,,[/akaaka /ochoski],
5969,akaakochoski aabònni,hard-boiled eggs,,,[/akaaka /ochoski /?],
5970,akaakochoski alwàhka libátka,Var. of akaakochoski libátka alwàhka,,,,
5971,akaakochoski ispowàtli,Var. of akaakochoski ispoyatli,,,,
5972,akaakochoski ispoyatli,fried eggs,,,[/akaaka /ochoski ist- /poyat-li],
5973,akaakochoski libátka alwàhka,scrambled eggs,,,[/akaaka /ochoski /libat-ka1],
5974,akaakochoski okcháako,raw eggs,,,[/akaaka /ochoski /okcháako],
5975,akaakonapoyatli,boiled chicken,,,[/akaaka ona- /poyat-li],
5976,akaakossiki,"brood hen, laying hen, setting hen",,,[/akaaka /ossiki],
5977,akáhmi,Var. of akkáhmi,,,,
5978,akakchòoba,Var. of akaakchòoba,,,,
5979,akakchòoba inchákka,cock's beak,,,[/akaaka /achòoba im- /chak(af)-ka1],
5980,akakchòoba iⁿhalokpa,cock's spurs,,,[/akaaka /achòoba im- /halokpa],
5981,akakchòoba nooyatakka,wattle,,,[/akaaka /achòoba noo- /atak(àa)-ka1],
5982,akaktayyi,Var. of akaakatayyi,,,,
5983,akayiha,"to growl; to fuss, complain, grumble",-LI,"akayihatiska, akayihatilka, akayihataska",,
5984,akayihatíkko,Negative form of akayiha,,,,
5985,akayihatilka,"fussing, quarreling, growling",,,[/akayiha-tilka],
5986,akayìiha,to be on the verge of fussing,,,,
5987,akba,"to be scorched, over-cooked (of e.g. rice or beans)",Other Verb,,,
5988,akhatka,American sycamore,,,,
5989,akhommachi,maple,,,,
5990,akifìiko,Negative form of akifìili,,,,
5991,akifìili,to cover,-LI/CHA-,"akifìichi, akifìihili, akifìihachi",[/akifìi-li],
5992,akìikmo,Negative form of akmi,,,,
5993,akìilo,"to hate, dislike; to not want, mind",-LI/CHA-,"1s akàalo, 2s aschikìilo/assikìilo, 1p akilìilo, 2p ashachikìilo",,
5994,akíilo,Negative form of áalo,,,,
5995,akìito,Negative form of àata,,,,
5996,akìiyo,Negative form of àaya,,,,
5997,akíkmo,Var. of akìikmo,,,,
5998,akíncho,Negative form of anchi,,,,
5999,akinìika,"to peek at, peer at, peep at (plural objects)",-LI/CHA-,"akinìihiska, akinìihilka, akinìihaska",[/akini(t)-ka1],
6000,akinitíkko,Negative form of akinitka,,,,
6001,akinitka,"to peek at, peer at, peep at (one object)",-LI/CHA-,"akinitiska, akinitilka, akinitaska",[/akinit-ka1],
6002,akíswo,Negative form of àswa,,,,
6003,akítto,Negative form of àtta,,,,
6004,akka,"that one (not close), that previously mentioned one",,,,
6005,akkáami,Var. of akkáhmi,,,,
6006,akkáhko,Negative form of akkáhmi,,,,
6007,akkáhmi,"to be that kind, be a different kind, to be like that, be something like that; to be together; to do",-LI,"akkánchi, akkáⁿhili, akkáⁿhachi",[/akkami],
6008,akkami,to do,-LI,"akkanchi, akkaⁿhili, akkaⁿhachi",,
6009,akkamìhchi,"to do, do that way, do a certain way",-LI,"akkanchìhchi, akkaⁿhilìhchi, akkaⁿhachìhchi",[/akkami-chi1],
6010,akkaⁿholíhchi,akkamìhchi,,,,
6011,akkankìhcho,Negative form of akkamìhchi,,,,
6012,akki,right there; this,,,,
6013,akko,"there, that place",,,,
6014,akkomachi,Var. of akhommachi,,,,
6015,akkommachi,Var. of akhommachi,,,,
6016,akmaali,Var. of akomaali,,,,
6017,akmaalichi,Var. of akomahlichi,,,,
6018,akmaalosi,Var. of akomaalosi,,,,
6019,akmahlichi,Var. of akomahlichi,,,,
6020,akmi,anything in its solid as opposed to liquid state,,,,
6021,akmichi,to freeze (something),-LI/3,"akmichitiska, akmichitilka, akmichitaska",[/akmi-chi1],
6022,akmik soofka,"for there to be hail, sleet or snow",,,[/akmi-k /soofi-ka1],
6023,akmistabatilka,ice hook,,,[/akmi ist- /tabat<il>-ka1],
6024,akmistatakka,icicle,,,[/akmi ist- /atak(àa)-ka1],
6025,akmitíkko,Negative form of akmi,,,,
6026,akoffi,to cover (several),-LI/CHA-,"akofchi, akofhili, akofhachi",[/akof(òo)-li],
6027,akoffichi,to cover (many things) (e.g. plants for winter),-LI/CHA-,"akofchichi, akofhilichi, akofhachichi",[/akof(òo)-li-chi2],
6028,akofoilka,head covering; hat; scarf,,,[/akofoo<il>-ka1],
6029,akofòoka,to be covered up (of one),CHA-,,[/akofòo-ka1],
6030,akofòoko,Negative form of akofòoli,,,,
6031,akofòoli,to cover (one object),-LI/CHA-,"akofòochi, akofòohili, akofòohachi",[/akofòo-li],
6032,akomaali,"cantaloupe, musk melon",,,,
6033,akomaalosi,musk melon,,,[/akomaali-osi],
6034,akomáhko,Negative form of akomahli,,,,
6035,akomahli,"to smell good, smell sweet, be fragrant",CHA-,,[/akomah-li],
6036,akomahlichi,"to make smell good, perfume, deodorize",-LI/CHA-,"akomahchichi, akomahhilichi, akomahhachichi",[/akomah-li-chi1],
