,Alabama,English,Class
5591,aatilli imìisa,"funeral home, mortuary",
5592,aatilli istìisa,"cemetary, graveyard",
5593,aatillistàaya,hearse,
5594,aatilli talbòoli,"undertaker, funeral director",
5595,aatilliwìili,hearse,
5596,aatilloska,Var. of aatinloska,
5597,aatiɬaɬo,"mermaid, merman (a creature with the head of a person and the body of a fish)",
5598,aati máali ipa,Var. of aatimáalonipa,
5599,aatimáalonipa,cannibal,
5600,aatimaɬatli,"timid person, scaredy cat",
5601,aatimaníhta,young person,
5602,aatimìntonipa,cannibal,
5603,aatimiyyatìika,Var. of ayitika,
5604,aatimpiskachàali,"whirligig beetle, black water bug",
5605,aatinaaɬìika,"talker, wordy person",
5606,aatinaani,man,
5607,aatinaani polóoma,sexy man,
5608,aatinaani tayyihahókkìita,homosexual man; male transvestite,
5609,aatináasimíkso,destitute person,
5610,aatinàasisobàayli,fortune teller,
5611,aatinàassobáyli,Var. of aatinàasisobàayli,
5612,aatinakàaɬa,"the deceased, dead person",
5613,aatinássobáyli,Var. of aatinàasisobàayli,
5614,aatiⁿhinootoha,"trace, old trail",
5615,aatiⁿhinosootoha,"trace, old trail",
5616,aatinka,to give away to,-LI/3/3
5617,aatinloska,devil,
5618,aatinnaaɬiilka,any Indian language,
5619,aatintaata,(my) husband,
5620,aati ombitìika,"burial, funeral",
5621,aatipachoba,elephant,
5622,aatipachobahakcho,"elephant-ear plant, catalpa",
5623,aatipachobinchaabi,rattan,
5624,aatisáhtík,anyone,
5625,aatisakbacháⁿhkàssi,one-armed person,
5626,aatisholba,camera,
5627,aatisholba istimalpitta,photographic film,
5628,aatisíhno,"senior citizen, elderly person",
5629,aatismaɬatkachi,scarecrow,
5630,aatisnáaho,"rich person, wealthy person",
5631,aatisnokchobaachitilka,stop sign,
5632,aatistàaya,bus; ambulance,
5633,aatistimapilka,"social worker, welfare worker",
5634,aatistiⁿhínnàata,leader,
5635,aatitaafolòoka iⁿholikfa,wedding dress,
5636,aatitayyi,"woman, lady",
5637,aatiwakàyka,angel; a witch that can change itself into an animal,
5638,aatkàano,Var. of aatikàano,
5639,aatkànko,Var. of aatikànko,
5640,aatkostìnko,"mentally-ill person, insane person",
5641,aatkostìnko imìistilka,"insane asylum, mental hospital",
5642,aatlocha,"black person, African-American",
5643,aatlochasi,Var. of aatloochasi,
5644,aatloochasi,black child,
5645,aatlòoska,liar,
5646,aatnaaɬìika,gossiper,
5647,aatnaaɬiilìichi,gossiper,
5648,aatofilka,spittoon,
5649,aatoliiya,Var. of haatoliiya,
5650,aatòocha,"senior citizen, elderly person",
5651,aatòoka,"playing field, ballfield",
5652,aatosi,American Indian baby or child,
5653,aatosi ahicha,babysitter,
5654,aatosi ahíicha,to babysit,
5655,aatosi ilapìili,baby sitter,
5656,aatosi ilhichíkso imiisa,"place in a tree (esp. a pine) where branches are twisted together to form a kind of nest where something, such as the aatosi ilhichíkso, might hide",
5657,aatosi imiisa,"placenta, womb",
5658,aatosi impatka,"baby bed, crib",
5659,aatosi intaatasobaíkko,"bastard, illegitimate child",
5660,aatosi istiⁿwwinàaka,"baby swing, baby's hammock",
5661,aatosi iwwìika,"to be pregnant, with child",3/AM-
5662,aatosischiniika,"cradle basket, a hide pouch for carrying a baby on the back",
5663,aatosischiniilka,"cradle basket, a hide pouch for carrying a baby on the back",
5664,aatosistimpaalpa,sling to carry a baby on the back,
5665,aatosooya,funnel; place to which plants are transplanted,
5666,aatsáwwasi,dwarves,
5667,aatsáwwasi hichíkso,"dwarves, fairies",
5668,aatsikòopa,poor person,
5669,aatsikoopali,slave master,
5670,aatsollokchi,ghost,
5671,aatsolokchi,Var. of aatsollokchi,
5672,aattobiilachi,devil,
5673,aatyàmmi,drunkard,
5674,aatyammichi,honeysuckle,
5675,aawihka,"to get all over, cover (one)",3/CHA-
5676,aawihli,"to investigate, look into everything",-LI/CHA-
5677,aawiika,Var. of aawihka,
5678,aawinàaka,"swing, hammock",
5679,àaya,"to go around, be there, be around, be located at a place (of one or two)",-LI
5680,áaya,"to be still around, still alive (of one or two)",-LI
5681,aayabànka,"steps over a fence, stile",
5682,aayachihka,field (for planting),
5683,aayachihka kano,arable land,
5684,àayafíhna,to be running around (of one),-LI
5685,aayaltoba,a place to pay bills,
5686,aayaltobaachilka,Var. of aayaltobaachitilka,
5687,aayaltobaachitilka,"a place to pay bills; a ticket (for traffic law violation or for entry into a theater, etc.)",
5688,aayamkolokbi,Var. of aayampo kolokbi,
5689,aayampo,any dish,
5690,aayampo aayaasihka,kitchen sink,
5691,aayampo báski,platter,
5692,aayampo kolokbi,bowl,
5693,aayampomiisa,"kitchen cabinet, cupboard",
5694,aayampostaasihka,"sponge, dishrag; dishwater",
5695,aayanchahka,glass; window; mirror; warbonnet,
5696,aayanchahka aayampo,glass dish,
5697,aayanchahkachoba istimalpitta,"chest of drawers, dresser",
5698,aayanchahka imatakka,window curtain,
5699,aayanchahka impaapatàaka,window sill,
5700,aayanchahka istililhicha,mirror,
5701,àayapalammi,"wild person, person running around all the time",
5702,aayaskáahilka,exit,
5703,áaycha,Var. of ahíicha,
5704,aayìistilka,"living room, den",
5705,aayilbaasiilka,"lavatory, washing pan, basin",
5706,aayilnocha,"motel, hotel",
5707,aayiɬka,Var. of aahiɬka,
5708,aayinnochi,any sleeping quarters,
5709,aayisilka,"cup; bar, tavern",
5710,aayisilka hakchonáaho,"mug, cup with a handle",
5711,aayisko,"to drink from, drink out of",-LI/3
5712,aayistilka,"hotel, motel, inn",
5713,aayoholimpa,Var. of aayoolìmpa,
5714,aayokbòokachi,churn,
5715,aayokhaboskacha,swimming pool,
5716,aayoolìmpa,"table, dining room",
5717,aayoolimpa aɬipìika,tablecloth,
5718,aayoolimpa paapatàaka,tablecloth,
5719,aaypooba,Var. of alpooba,
5720,aba,any out building with a foundation,
5721,abaahíkko,Negative form of abaaka,
5722,abaaka,"to come together with, meet (someone), esp. head on (on the same road from the opposite direction)",-LI/CHA-
5723,abàali,Var. of abahli,
5724,abaalichi,"to pull up (something), lift, raise (as a flag on a rope)",
5725,Abàalichókkòoli,God,
5726,Abàalichókkòoli imililla íkso,"God, Jesus",
5727,Abaalichokòoli,Var. of Abàalichókkòoli,
5728,abàali iisa,Var. of abàhli iisa,
5729,Abàalimikko,God,
5730,abàalokchakko,sky,
5731,abàalokchakkoyáamikát hommaakáhchi,to be purple,CHA-
5732,abàalokchakkoyáhchi,to be sky-blue,
5733,abaanataali,Var. of abaanatahli,
5734,abaanatáhko,Negative form of abaanatahli,
5735,abaanatahli,"to put the head back, tilt the head back (of one)",-LI
5736,abaanatahlichi,to tilt (someone's) head back,-LI/CHA-
5737,abaanatli,"to put the head back, tilt the head back (of more than one)",-LI
5738,abaanáttàali,Var. of abaanáttahli,
5739,abaanáttahli,"to carry the head back, keep the head back, hold the head back (of one)",-LI
5740,abaapínha,"way up high, far up",
5741,abachokòoli,"out building with a dirt floor, especially a smokehouse",
5742,abahalo,Var. of abaalo,
5743,abahkìicho,Negative form of abahlichi,
5744,abáhko,Negative form of abahli,
5745,abahli,"sky, heavens; above, up; upstairs",CHA-
5746,abahlichi,"to ascend, rise, take off (as an airplane), go up",-LI
5747,abàhli iisa,heaven,
5748,abáhlòosi,high,
5749,abahnataali,Var. of abaanatahli,
5750,abáksa,chicken snake,
5751,abáksalocha,chicken snake,
5752,abáksapàlki,coachwhip snake,
5753,abaksapàlki hatka,chicken snake,
5754,abalàali,"mortgage, collateral, security on a loan",
5755,abanàaka,"to reach, bend, or fall over (with the whole body)",-LI/CHA-
5756,abanàali,"to put (one object) across or over two objects, span the gap in between with (e.g. a wood frame)",-LI/CHA-
5757,abanatkìicho,Negative form of abanatlichi,
5758,abanátko,Negative form of abanatli,
5759,abanatli,"to cross over, go across; to straddle (as climbing over a fence), step over (of one)",-LI/3
5760,abanatlichi,"to lead across, make cross over; to put across, serve over the net (one object)",-LI/CHA-
5761,abanka,place to cross over,
5762,abànkasi,"stile, steps for crossing over a fence",
5763,abánnatli,"to be crossing, across (of one)",-LI
5764,abanni,"to cross over, go across, step over (of more than one)",-LI/3
5765,abannichi,"to lead across, make cross over; to put across, serve over the net (plural objects)",-LI/CHA-
5766,abasi,"corncrib, root cellar, storage shed for potatoes",
5767,abáski,"to be high up, be a certain height",Other Verb
5768,Abáskichókkòoli,God,
5769,abáskitíkko,Negative form of abáski,
5770,abatàaka,"to run into, bump into, collide with (of more than one)",-LI/CHA-
5771,abatapíkko,Negative form of abatapka,
5772,abatapka,"to run into, bump into, collide with (of one or once)",-LI/CHA-
5773,abiɬka,"to stake to a pole, plant by staking to a pole, set up a pole (esp. for beans)",-LI/3
5774,abitiplichi,Var. of abititlichi,
5775,abititkìicho,Negative form of abititlichi,
5776,abititlichi,"to weight down, press down on",
5777,abitkachi,to be packed down,CHA-
5778,abitlichi,"to pump, move (something) up and down; to drive into the ground, tamp down, pack down, press down",-LI/3
5779,abóhko,Negative form of abohli,
5780,abohli,"woods, thicket",
5781,abohlichi,"to litter (an area), mess (something) up",-LI/CHA-
5782,aboknóhko,Negative form of aboknohli,
5783,aboknohli,to wrap in a bundle,-LI/CHA-
5784,aboknooli,Var. of aboknohli,
5785,abooli,Var. of abohli,
5786,aboolischoba,Var. of aboolissoba,
5787,aboolissoba,the Big Thicket,
5788,aboolòosi,"grove, little wooded area, stand of trees",
5789,aboska,"roast, barbecue",
5790,abósko,Negative form of abosli,
5791,abosli,"to barbecue, grill over a fire, roast",-LI/3
5792,acha,"outside, outdoors, out",
5793,achaalpa,"to be opposed, have opposition",CHA-
5794,achaapa,"to object to openly, disagree, oppose, argue against",-LI/CHA-
5795,achàapa,"enemy, opposition",CHA-
5796,achaapatíkko,Negative form of achaapa,
5797,acháffàaka,"once, once upon a time",
5798,achahli,to agree about,-LI/3
5799,achaki,"midget, dwarf, any unusually small full grown person",
5800,achakìipo,Negative form of achaapa,
5801,achakki,"to go with, accompany, date",-LI/CHA-
5802,achakkitíkko,Negative form of achakki,
5803,achakosi,Var. of chakosi,
5804,achanàa-,,
5805,achanàahíkko,Negative form of achanàaka,
5806,achanàaka,to lean against (of one),-LI/CHA-
5807,achanàali,to lean (one object) against,-LI/CHA-
5808,achanaíkko,Var. of achanaahíkko,
5809,achankachi,to lean against (of more than one),-LI/CHA-
5810,achánnàaka,to have been leaned against (of one),Other Verb
5811,achánnàaka,to be leaning against (of one),Other Verb
5812,achanni,to lean (plural objects) against,-LI/CHA-
5813,achasàako,Negative form of achasàali,
5814,achasàali,"to insert (one object) between, stick in between",-LI/3
5815,acha sakàmpa,outside corner,
5816,achaska,to be stuck in between (of more than one),CHA-
5817,achásko,Negative form of achasli,
5818,achasli,"to insert (plural objects) between, stick in between",-LI/3
5819,achihba,"to be slow, clumsy",CHA-
5820,achíhba,to be more expensive,
5821,achìhba,"sadness, pitiable circumstance",
5822,achihka,seed (for planting),
5823,achìhko,Negative form of achihli,
5824,achihli,to plant (especially seeds),-LI/3
5825,achiiba,Var. of achihba,
5826,achiifakto,Var. of hachiⁿfakto,
5827,achikíhbòosi,Negative form of achikìibo,
5828,achikìibo,Negative form of achihba,
5829,achiliiba,slowness,
5830,achitìika,to be tied,
5831,achitìiko,Negative form of achitìili,
5832,achitìili,"to tie (one object), tie onto, tie (two ends) together, tie (a knot); to bear (one fruit)",Other Verb
5833,achitli,to tie up (plural objects),-LI/CHA-
5834,achíttìika,to be tied up (of one),CHA-
5835,achíttìili,to have (one object) tied up,-LI/CHA-
5836,achokìibo,Negative form of achòoba,
5837,achokna,"pick (tool), pickax",
5838,achòoba,"to be old, mature, be a senior citizen, be elderly; to be old and worn out",CHA-
5839,achòobat kanohalpískohchi,Var. of achòobat kanolalpískohchi,
5840,achòobat kanolalpískohchi,to be old and worthless,CHA-
5841,achoopa,iron nail,
5842,achoopachoba,"spike, big nail",
5843,achoopa issiihka,anything used to pull nails,
5844,achoopa istiⁿsihkachi,"crowbar, claw hammer",
5845,achoopasi,"thumb tack, carpet tack, small nail",
5846,achoopassihka,Var. of achoopa issiihka,
5847,achopchoba,Var. of achoopa choba,
5848,achoska,"to get stuck or stabbed (repeatedly), have several things sticking one",Other Verb
5849,achoska,"to be right behind, stick close to, cling to (of more than one)",Other Verb
5850,achoskachi,"to be right behind, stick close to, cling to (of more than one)",
5851,achosli,"to nail, drive in (sharp objects), run in, stick in, stab, pierce (plural objects or repeatedly)",-LI/CHA-
5852,achosóikko,Negative form of achosòoka2,
5853,achosòo-,,
5854,achosòoka,"to be nailed, be stuck into (e.g. of a dart) (once)",Other Verb
5855,achosòoka,to run into (one object); to be sticking into,Other Verb
5856,achosòoko,Negative form of achosòoli,
5857,achosòoli,"to nail, drive in (a sharp object), stick in, stab, pierce, impale (one object); to hex or cast a bad spell on; to influence, put ideas in (someone's head)",-LI/CHA-
5858,achóssòoka,"to follow along behind, stick close to, cling to (of one)",-LI/CHA-
5859,achóssòokàasi,Var. of achóssòoka,
5860,afaachi,Var. of afaalichi,
5861,afaahíkko,Negative form of afaaka,
5862,afaahilka,"joke, something funny",
5863,afaahilka naaɬiihilka,joke,
5864,afaahilka naaɬìika,"story-teller, liar",
5865,afaahoka,afaaka,
5866,afaaka,"to laugh; to smile, grin",-LI; CHA-
5867,afaakachi,"to be laughed at, ridiculed",CHA-
5868,afaalichi,"to laugh at, ridicule, tease; to make laugh",
5869,afaíkko,Var. of afaahíkko,
5870,afailka,Var. of afaahilka,
5871,afalohka,to yawn,CHA-; -LI
5872,áffáakàssi,to smile,-LI
5873,affakchi,skin; hide; cover of a book; bark of a tree,CHA-
5874,afináapli,to keep locking regularly (e.g. a car door) (one object),-LI/CHA-
5875,afinapka,to be locked (of one),
5876,afinápko,Negative form of afinapli,
5877,afinapli,"to lock up, bar (one object)",-LI/CHA-
5878,afínnapli,to keep locked up (e.g. a cedar chest) (one object),-LI/CHA-
5879,afinni,to lock up (plural objects),-LI/CHA-
5880,afitàaka,"span, cross-beam, doubletree or singletree (crosspiece of a wagon)",
5881,afitàako,Negative form of afitàali,
5882,afitàali,"to lay across a gap (e.g. a beam), span with, cross a gap with, bridge a gap with (one object)",-LI/3
5883,afitli,"to lay across a gap (e.g. a beam), span, cross a gap",-LI/3
5884,afolhíkko,Negative form of afolli,
5885,afolka,"to be suspended in water, cooked to a mush, boiled",
5886,afolli,"to boil, simmer, cook in liquid (a mushy substance)",-LI/3
5887,afolo,Var. of ofolo,
5888,aha,"sweet potato, potato",
5889,ahaalo,"to ask (a question), ask for, request",-LI/3
5890,ahaalotíkko,Negative form of ahaalo,
5891,aha boska,baked potato,
5892,ahachàaka,"bill, debt, money still owed, loan balance",
5893,ahachàaka holisso,"bill, ticket, credit card",
5894,ahachaakìicho,Negative form of ahachàalichi,
5895,ahachàako,Negative form of ahachàali,
5896,ahachàali,"to owe, borrow (money), buy on credit, charge a purchase",-LI/3
5897,ahachàalichi,"to charge to an account, charge someone for, extend credit to",-LI/CHA-
5898,ahalka,to be asked for,CHA-
5899,ahamatka,Var. of aamatka,
5900,ahamatli,Var. of aamatli,
5901,ahámmatka,Var. of áammatka,
5902,ahataksi,"potato, Irish potato",
5903,ahataksi bahka,mashed potatoes,
5904,ahataksi solotka,potato chip,
5905,ahátchàaka,"bills, debt, being in debt, owing",
5906,ahátchàali,"to be in debt, owe",Other Verb
5907,ahátchàali,to stand over (of one),Other Verb
5908,áhhìicha,"to be looking after, keeping watch over, to guard, protect, take care of, housesit, babysit",-LI/CHA-
5909,áhhòoba,"to be almost even, nearly equal in size or mental ability; to have caught up with",-LI/CHA-
5910,ahicha,to watch over,-LI/CHA-
5911,ahíicha,"to care for, watch over, babysit, guard",-LI/CHA-
5912,ahíichatíkko,Negative form of ahíicha,
5913,ahíina,"to be together with, stay with; to watch over, protect, guard",
5914,ahíinatíkko,Negative form of ahíina,
5915,ahissi,Var. of aissi,
5916,ahissihatka,Var. of aissihatka,
5917,ahissi ɬopotlichi,laxative,
5918,ahissi talibòoli,Var. of aissi talbòoli,
5919,ahkomachi,Var. of akhommachi,
5920,ahkommachi,Var. of akhommachi,
5921,ahlàana,Var. of aalaana,
5922,ahochifa,to name after someone,-LI/CHA-/3
5923,ahokìibo,Negative form of ahooba,
5924,ahokìito,Negative form of ahoota,
5925,aholchifa,to be named after,-LI/CHA-
5926,ahomi,Var. of ahoomi,
5927,ahooba,"to catch up to, tie with (someone)",-LI/CHA-
5928,ahoobachi,"to even up (e.g. the ends of something), bring up to the same level",-LI/CHA-
5929,ahoobachitíkko,Negative form of ahoobachi,
5930,ahoobatíkko,Negative form of ahooba,
5931,ahoolta,"vomit, vomitus",
5932,ahoomi,"to moan, sigh, grunt (in pain)",-LI
5933,ahoomitíkko,Negative form of ahoomi,
5934,ahoota,"to vomit, throw up",CHA-
5935,ahootachi,"to make vomit, nauseate",-LI/CHA-
5936,àhpotayyi,niece,
5937,aíina,Var. of ahíina,
5938,aissi,"medicine, pills, drug",
5939,aissihatka,ginseng; liniment; white man's medicine,
5940,aissi istalposooha,"salve, ointment, medicinal cream",
5941,aissikánko,poison,
5942,aissipa,to take medicine orally,-LI/3
